"","var","contrib","coord","var_name","var_complete_name"
"20","ENVRES",14.288896,0.578182,"ENVRES","full_name 26"
"4","QSANTETE",13.534153,-0.562705,"QSANTETE","full_name 10"
"11","QGLOHIV",11.942846,-0.52859,"QGLOHIV","full_name 17"
