"","var","contrib","coord","var_name","var_complete_name"
"15","QNUTRI",28.463339,-0.182067,"QNUTRI","full_name 21"
"5","QNUTRETE",14.622923,0.130498,"QNUTRETE","full_name 11"
"18","ENVEUTRO",8.543178,-0.099747,"ENVEUTRO","full_name 24"
