"","var","contrib","coord","var_name","var_complete_name"
"20","ENVRES",28.648634,-0.382872,"ENVRES","full_name 26"
"8","QTECHHIV",14.141994,0.269003,"QTECHHIV","full_name 14"
"1","EED",13.195632,0.259846,"EED","full_name 7"
