"","var","contrib","coord","var_name","var_complete_name"
"10","QNUTRHIV",20.286503,0.461956,"QNUTRHIV","full_name 16"
"18","ENVEUTRO",20.18953,0.460851,"ENVEUTRO","full_name 24"
"4","QSANTETE",8.069359,-0.291351,"QSANTETE","full_name 10"
