"","var","contrib","coord","var_name","var_complete_name"
"9","QSANTHIV",17.913056,0.254733,"QSANTHIV","full_name 15"
"16","QGLOAN",17.671444,0.253009,"QGLOAN","full_name 22"
"1","EED",12.997597,-0.216986,"EED","full_name 7"
