"","var","contrib","coord","var_name","var_complete_name"
"6","QGLOETE",23.700858,0.718321,"QGLOETE","full_name 12"
"18","ENVEUTRO",12.90904,-0.530131,"ENVEUTRO","full_name 24"
"7","QSENSHIV",11.839066,0.507686,"QSENSHIV","full_name 13"
