"","var","contrib","coord","var_name","var_complete_name"
"7","QSENSHIV",17.717154,-0.517303,"QSENSHIV","full_name 13"
"2","QSENSETE",15.768494,0.488027,"QSENSETE","full_name 8"
"11","QGLOHIV",15.304685,-0.480796,"QGLOHIV","full_name 17"
