"","var","contrib","coord","var_name","var_complete_name"
"10","QNUTRHIV",24.994952,-0.311346,"QNUTRHIV","full_name 16"
"5","QNUTRETE",18.381616,0.266999,"QNUTRETE","full_name 11"
"17","ENVCC",13.672076,0.230268,"ENVCC","full_name 23"
