"","var","contrib","coord","var_name","var_complete_name"
"22","ENVGLO",29.88844,0.421457,"ENVGLO","full_name 28"
"7","QSENSHIV",19.753063,-0.342625,"QSENSHIV","full_name 13"
"5","QNUTRETE",12.799539,0.275803,"QNUTRETE","full_name 11"
