"","var","contrib","coord","var_name","var_complete_name"
"14","QSANTE",29.694973,-0.760123,"QSANTE","full_name 20"
"2","QSENSETE",14.156175,0.524826,"QSENSETE","full_name 8"
"21","ENVBIO",13.483656,-0.512208,"ENVBIO","full_name 27"
