"","var","contrib","coord","var_name","var_complete_name"
"12","QSENSO",25.151406,-0.87131,"QSENSO","full_name 18"
"3","QTECHETE",17.516636,-0.727138,"QTECHETE","full_name 9"
"15","QNUTRI",11.523585,0.589773,"QNUTRI","full_name 21"
