"","var","contrib","coord","var_name","var_complete_name"
"1","EED",17.824486,0.786708,"EED","full_name 7"
"22","ENVGLO",16.727328,0.762111,"ENVGLO","full_name 28"
"21","ENVBIO",11.15039,0.622229,"ENVBIO","full_name 27"
