"","var","contrib","coord","var_name","var_complete_name"
"13","QTECHNO",14.792441,-0.731454,"QTECHNO","full_name 19"
"8","QTECHHIV",10.897924,0.627825,"QTECHHIV","full_name 14"
"10","QNUTRHIV",10.786357,0.624603,"QNUTRHIV","full_name 16"
